id,city,city_code,airport_name,country,timezone,,,
146,Ambatolahy,AHY,Ambatolahy,Madagascar,Indian/Antananarivo,,,
147,Alpe D Huez,AHZ,Alpe D Huez,France,Europe/Paris,,,
148,Alliance,AIA,Alliance,United States,America/Denver,,,
149,Anita Bay,AIB,Anita Bay,United States,America/Juneau,,,
150,Airok,AIC,Airok,Marshall Islands,Pacific/Kwajalein,,,
151,Anderson,AID,Municipal,United States,America/Indiana/Indianapolis,,,
152,Aiome,AIE,Aiome,Papua New Guinea,Pacific/Port_Moresby,,,
153,Assis,AIF,Assis,Brazil,America/Sao_Paulo,,,
154,Aiambak,AIH,Aiambak,Papua New Guinea,Pacific/Port_Moresby,,,
155,Alisabieh,AII,Alisabieh,Djibouti,Africa/Djibouti,,,
156,Aiken,AIK,Municipal,United States,America/New_York,,,
157,Ailigandi,AIL,Ailigandi,Panama,America/Panama,,,
158,Ailuk Island,AIM,Ailuk Island,Marshall Islands,Pacific/Kwajalein,,,
159,Atlantic,AIO,Municipal,United States,America/Chicago,,,
160,Aripuana,AIR,Aripuana,Brazil,America/Cuiaba,,,
161,Arorae Island,AIS,Arorae Island,Kiribati,Pacific/Tarawa,,,
162,Aitutaki,AIT,Aitutaki,Cook Islands,Pacific/Rarotonga,,,
163,Atiu Island,AIU,Atiu Island,Cook Islands,Pacific/Rarotonga,,,
164,Aliceville,AIV,George Downer,United States,America/Chicago,,,
165,Ai-Ais,AIW,Ai-Ais,Namibia,Africa/Windhoek,,,
166,Atlantic City,AIY,Bader Field,United States,America/New_York,,,
167,Kaiser/Lake Ozark,AIZ,Lee C Fine Memorial,United States,America/Chicago,,,
168,Ajaccio,AJA,Campo Dell Oro,France,Europe/Paris,,,
169,Sakaka Al Jouf,AJF,Jouf,Saudi Arabia,Asia/Riyadh,,,
170,Agri,AJI,Ağri,Turkey,Europe/Istanbul,,,
171,Akjoujt,AJJ,Akjoujt,Mauritania,Africa/Nouakchott,,,
172,Araak,AJK,Araak,Iran,Asia/Tehran,,,
173,Aizawl,AJL,Aizawl,India,Asia/Kolkata,,,
174,Anjouan,AJN,Ouani,Comoros,Indian/Comoro,,,
175,Arvidsjaur,AJR,Arvidsjaur,Sweden,Europe/Stockholm,,,
176,Abreojos,AJS,Abreojos,Mexico,America/Hermosillo,,,
177,Aracaju,AJU,Aracaju,Brazil,America/Noronha,,,
178,Agades,AJY,Agades,Niger,Africa/Niamey,,,
179,Ankang,AKA,Ankang,China,Asia/Chongqing,,,
180,Atka,AKB,Atka,United States,America/Adak,,,
181,Akron/Canton,AKC,Fulton International,United States,America/New_York,,,
182,Akola,AKD,Akola,India,Asia/Kolkata,,,
183,Akieni,AKE,Akieni,Gabon,Africa/Libreville,,,
184,Kufrah,AKF,Kufrah,Libya,Africa/Tripoli,,,
185,Anguganak,AKG,Anguganak,Papua New Guinea,Pacific/Port_Moresby,,,
186,Al Kharj,AKH,Prince Sultan Air Base,Saudi Arabia,Asia/Riyadh,,,
187,Akiak,AKI,Akiak,United States,America/Anchorage,,,
188,Asahikawa,AKJ,Asahikawa,Japan,Asia/Tokyo,,,
189,Akhiok,AKK,Akhiok SPB,United States,America/Anchorage,,,
190,Auckland,AKL,Auckland International,New Zealand (aotearoa),Pacific/Auckland,,,
191,King Salmon,AKN,King Salmon,United States,America/Anchorage,,,
192,Akron,AKO,Washington Co,United States,America/Denver,,,
193,Anaktuvuk,AKP,Anaktuvuk,United States,America/Anchorage,,,
194,Astraksetra,AKQ,Gunung Batin,Indonesia,Asia/Jakarta,,,
195,Akure,AKR,Akure,Nigeria,Africa/Lagos,,,
196,Akrotiri,AKT,Akrotiri RAF,Cyprus,Asia/Nicosia,,,
197,Aksu,AKU,Aksu,China,Asia/Kashgar,,,
198,Akulivik,AKV,Akulivik,Canada,America/Montreal,,,
199,Aghajari,AKW,Aghajari,Iran,Asia/Tehran,,,
200,Aktyubinsk,AKX,Aktyubinsk,Kazakhstan,Asia/Aqtobe,,,
201,Almaty,ALA,Almaty,Kazakhstan,Asia/Almaty,,,
202,Albany,ALB,Albany International,United States,America/New_York,,,
203,Alicante,ALC,Alicante,Spain,Europe/Madrid,,,
204,Alerta,ALD,Alerta,Peru,America/Lima,,,
205,Alpine,ALE,Alpine,United States,America/Chicago,,,
206,Alta,ALF,Alta,Norway,Europe/Oslo,,,
207,Algiers,ALG,Houari Boumediene,Algeria,Africa/Algiers,,,
208,Albany,ALH,Albany,Australia,Australia/Perth,,,
209,Alice,ALI,International,United States,America/Chicago,,,
210,Alexander Bay,ALJ,Kortdoorn,South Africa,Africa/Johannesburg,,,
211,Asela,ALK,Asela,Ethiopia,Africa/Addis_Ababa,,,
212,Albenga,ALL,Albenga,Italy,Europe/Rome,,,
213,Alamogordo,ALM,Municipal,United States,America/Denver,,,
214,Alton,ALN,Alton,United States,America/Chicago,,,
215,Aleppo,ALP,Nejrab,Syria,Asia/Damascus,,,
216,Alegrete,ALQ,Federal,Brazil,America/Sao_Paulo,,,
217,Alexandra,ALR,Alexandra,New Zealand (Aotearoa),Pacific/Auckland,,,
218,Alamosa,ALS,Municipal,United States,America/Denver,,,
219,Alenquer,ALT,Alenquer,Brazil,America/Santarem,,,
220,Alula,ALU,Alula,Somalia,Africa/Mogadishu,,,
221,Andorra La Vella,ALV,Andorra La Vella H/P,Andorra,Europe/Andorra,,,
222,Alexander City,ALX,Thomas C Russell Fld,United States,America/Chicago,,,
223,Alexandria,ALY,El Nohza,Egypt,Africa/Cairo,,,
224,Alitak,ALZ,Alitak SPB,United States,America/Anchorage,,,
225,Amarillo,AMA,International,United States,America/Chicago,,,
226,Ambilobe,AMB,Ambilobe,Madagascar,Indian/Antananarivo,,,
227,Am Timan,AMC,Am Timan,Guam,Africa/Ndjamena,,,
228,Ahmedabad,AMD,Ahmedabad,India,Asia/Kolkata,,,
229,Alto Molocue,AME,Alto Molocue,Mozambique,Africa/Maputo,,,
230,Ama,AMF,Ama,Papua New Guinea,Pacific/Port_Moresby,,,
231,Amboin,AMG,Amboin,Papua New Guinea,Pacific/Port_Moresby,,,
232,Arba Mintch,AMH,Arba Mintch,Ethiopia,Africa/Addis_Ababa,,,
233,Mataram,AMI,Selaparang,Indonesia,Asia/Makassar,,,
234,Almenara,AMJ,Almenara,Brazil,America/Sao_Paulo,,,
235,Durango,AMK,Animas Airpark,United States,America/Denver,,,
236,Amman,AMM,Queen Alia Intl,Jordan,Asia/Amman,,,
237,Alma,AMN,Gratiot Community,United States,America/Detroit,,,
238,Mao,AMO,Mao,Chad,Africa/Ndjamena,,,
239,Ampanihy,AMP,Ampanihy,Madagascar,Indian/Antananarivo,,,
240,Ambon,AMQ,Pattimura,Indonesia,Asia/Jayapura,,,
241,Haarlemmermeer,AMS,Amsterdam-Schiphol,The Netherlands,Europe/Amsterdam,,,
242,Amata,AMT,Amata,Australia,Australia/Adelaide,,,
243,Amanab,AMU,Amanab,Papua New Guinea,Pacific/Port_Moresby,,,
244,Amderma,AMV,Amderma,Russian Federation,Europe/Moscow,,,
245,Ames,AMW,Ames,United States,America/Chicago,,,
246,Ammaroo,AMX,Ammaroo,Australia,Australia/Darwin,,,
247,Ambatomainty,AMY,Ambatomainty,Madagascar,Indian/Antananarivo,,,
248,Ardmore,AMZ,Ardmore,New Zealand (Aotearoa),Pacific/Auckland,,,
249,Anniston,ANB,County Arpt,United States,America/Chicago,,,
250,Anchorage,ANC,Ted Stevens Anchorage Int'l,United States,America/Anchorage,,,
251,Anderson,AND,Anderson,United States,America/New_York,,,
252,Angers,ANE,Marce,France,Europe/Paris,,,
253,Antofagasta,ANF,Cerro Moreno,Chile,America/Santiago,,,
254,Angouleme,ANG,Brie-Champniers,France,Europe/Paris,,,
255,Aniak,ANI,Aniak,United States,America/Anchorage,,,
256,Ankara,ANK,Etimesgut,Turkey,Europe/Istanbul,,,
257,Andulo,ANL,Andulo,Angola,Africa/Luanda,,,
258,Antalaha,ANM,Antsirabato,Madagascar,Indian/Antananarivo,,,
259,Annette Island,ANN,Annette Island,United States,America/Metlakatla,,,
260,Angoche,ANO,Angoche,Mozambique,Africa/Maputo,,,
261,Annapolis,ANP,Lee,United States,America/New_York,,,
262,Angola,ANQ,Tri-State Steuben Cty,United States,America/Indiana/Indianapolis,,,
263,Antwerp,ANR,Deurne,Belgium,Europe/Brussels,,,
264,Andahuaylas,ANS,Andahuaylas,Peru,America/Lima,,,
265,Antigua,ANU,V.C. Bird Intl,Antigua and Barbuda,America/Antigua,,,
266,Anvik,ANV,Anvik,United States,America/Anchorage,,,
267,Ainsworth,ANW,Ainsworth,United States,America/Chicago,,,
268,Andenes,ANX,Andenes,Norway,Europe/Oslo,,,
269,Anthony,ANY,Anthony,United States,America/Chicago,,,
270,Angus Downs,ANZ,Angus Downs,Australia,Australia/Darwin,,,
271,Altenburg,AOC,Altenburg Nobitz,Germany,Europe/Berlin,,,
272,Abou Deia,AOD,Abou Deia,Chad,Africa/Ndjamena,,,
273,Eskisehir,AOE,Anadolu University,Turkey,Europe/Istanbul,,,
274,Anshan,AOG,Anshan,China,Asia/Shanghai,,,
275,Lima,AOH,Allen County,United States,America/New_York,,,
276,Ancona,AOI,Falconara,Italy,Europe/Rome,,,
277,Aomori,AOJ,Aomori,Japan,Asia/Tokyo,,,
278,Karpathos,AOK,Karpathos,Greece,Europe/Athens,,,
279,Martinsburg,AOO,Martinsburg,United States,America/New_York,,,
280,Alor Setar,AOR,Alor Setar,Malaysia,Asia/Kuala_Lumpur,,,
281,Amook,AOS,Amook,United States,America/Anchorage,,,
282,Aosta,AOT,Corrado Gex,Italy,Europe/Rome,,,
283,Attopeu,AOU,Attopeu,Laos,Asia/Vientiane,,,
284,Denver,APA,Arapahoe Co,United States,America/Denver,,,
285,Apolo,APB,Apolo,Bolivia,America/La_Paz,,,
286,Napa,APC,Napa County,United States,America/Los_Angeles,,,
287,Naples,APF,Naples,United States,America/New_York,,,
288,Aberdeen,APG,Phillips AAF,United States,America/New_York,,,
289,Bowling Green,APH,Camp A P Hill,United States,America/New_York,,,
290,Apiay,API,Apiay,Colombia,America/Bogota,,,
291,Apataki,APK,Apataki,French Polynesia,Pacific/Tahiti,,,
292,Nampula,APL,Nampula,Mozambique,Africa/Maputo,,,
293,Alpena,APN,Alpena County Regional,United States,America/Detroit,,,
294,Apartado,APO,Apartado,Colombia,America/Bogota,,,
295,Asapa,APP,Asapa,Papua New Guinea,Pacific/Port_Moresby,,,
296,Arapiraca,APQ,Arapiraca,Brazil,America/Maceio,,,
297,April River,APR,April River,Papua New Guinea,Pacific/Port_Moresby,,,
298,Anapolis,APS,Anapolis,Brazil,America/Sao_Paulo,,,
299,Jasper,APT,Marion County,United States,America/Chicago,,,
300,Apucarana,APU,Apucarana,Brazil,America/Sao_Paulo,,,
301,Apple Valley,APV,Apple Valley,United States,America/Los_Angeles,,,
302,Apia,APW,Faleolo,Samoa,Pacific/Apia,,,
303,Arapongas,APX,Arapongas,Brazil,America/Sao_Paulo,,,
304,Alto Parnaiba,APY,Alto Parnaiba,Brazil,America/Fortaleza,,,
305,Araraquara,AQA,Manaus,Brazil,America/Sao_Paulo,,,
306,Anqing,AQG,Anqing,China,Asia/Shanghai,,,
307,Aqaba,AQJ,King Hussein Intl,Jordan,Asia/Amman,,,
308,Ariquemes,AQM,Ariquemes,Brazil,America/Porto_Velho,,,
309,Arequipa,AQP,Rodriguez Ballon,Peru,America/Lima,,,
310,New Iberia,ARA,Acadiana Regional,United States,America/Chicago,,,
311,Ann Arbor,ARB,Municipal,United States,America/Detroit,,,
312,Arctic Village,ARC,Arctic Village,United States,America/Anchorage,,,
313,Alor Island,ARD,Alor Island,Indonesia,Asia/Makassar,,,
314,Arecibo,ARE,Arecibo,Puerto Rico,America/Puerto_Rico,,,
315,Acaricuara,ARF,Acaricuara,Colombia,America/Bogota,,,
316,Arkhangelsk,ARH,Arkhangelsk,Russian Federation,Europe/Moscow,,,
317,Arica,ARI,Chacalluta,Chile,America/Santiago,,,
318,Arso,ARJ,Arso,Indonesia,Asia/Jayapura,,,
319,Arusha,ARK,Arusha,Tanzania,Africa/Dar_es_Salaam,,,
320,Arly,ARL,Arly,Burkina Faso,Africa/Ouagadougou,,,
321,Armidale,ARM,Armidale,Australia,Australia/Sydney,,,
322,Arboletas,ARO,Arboletas,Colombia,America/Bogota,,,
323,Aragip,ARP,Aragip,Papua New Guinea,Pacific/Port_Moresby,,,
324,Arauquita,ARQ,Arauquita,Colombia,America/Bogota,,,
325,Alto Rio Senguerr,ARR,Alto Rio Senguerr,Argentina,America/Argentina/Catamarca,,,
326,Aragarcas,ARS,Aragarcas,Brazil,America/Sao_Paulo,,,
327,Aracatuba,ARU,Aracatuba,Brazil,America/Sao_Paulo,,,
328,Minocqua,ARV,Noble F. Lee,United States,America/Chicago,,,
329,Arad,ARW,Arad,Romania,Europe/Bucharest,,,
330,"Neptune, NJ",ARX,Asbury Park,United States,America/New_York,,,
331,Ararat,ARY,Ararat,Australia,Australia/Melbourne,,,
332,Assab,ASA,Assab,Ethiopia,Africa/Asmara,,,
333,Ashgabat,ASB,Ashgabat,Turkmenistan,Asia/Ashgabat,,,
334,Ascension,ASC,Ascension,Bolivia,America/La_Paz,,,
335,Andros Town,ASD,Andros Town,Bahamas,America/Nassau,,,
336,Aspen,ASE,Aspen,United States,America/Denver,,,
337,Astrakhan,ASF,Astrakhan,Russian Federation,Europe/Volgograd,,,
338,Ashburton,ASG,Ashburton,New Zealand (Aotearoa),Pacific/Auckland,,,
339,Nashua,ASH,Boire Field,United States,America/New_York,,,
340,"Georgetown, Ascension Island",ASI,Wideawake Fld,St. Helena,Atlantic/St_Helena,,,
341,Amami O Shima,ASJ,Amami O Shima,Japan,Asia/Tokyo,,,
342,Marshall,ASL,Harrison County,United States,America/Chicago,,,
343,Asmara,ASM,Asmara International,Ethiopia,Africa/Asmara,,,
344,Asosa,ASO,Asosa,Ethiopia,Africa/Addis_Ababa,,,
345,Alice Springs,ASP,Alice Springs,Australia,Australia/Darwin,,,
346,Austin,ASQ,Austin,United States,America/Los_Angeles,,,
347,Kayseri,ASR,Erkilet International Airport,Turkey,Europe/Istanbul,,,
348,Astoria,AST,Astoria,United States,America/Los_Angeles,,,
349,Asuncion,ASU,Silvio Pettirossi,Paraguay,America/Asuncion,,,
350,Amboseli,ASV,Amboseli,Kenya,Africa/Nairobi,,,
351,Aswan,ASW,Aswan,Egypt,Africa/Cairo,,,
352,Ashland,ASX,Ashland,United States,America/Chicago,,,
353,Ashley,ASY,Ashley,United States,America/Chicago,,,
354,Asirim,ASZ,Asirim,Papua New Guinea,Pacific/Port_Moresby,,,
355,Anta,ATA,Anta,Peru,America/Lima,,,
356,Atbara,ATB,Atbara,Sudan,Africa/Khartoum,,,
357,Atoifi,ATD,Atoifi,Solomon Islands,Pacific/Guadalcanal,,,
358,Antlers,ATE,Antlers,United States,America/Chicago,,,
359,Ambato,ATF,Chachoan,Ecuador,America/Guayaquil,,,
360,Attock,ATG,Attock,Pakistan,Asia/Karachi,,,
361,Athens,ATH,Eleftherios Venizelos,Greece,Europe/Athens,,,
362,Artigas,ATI,Artigas,Uruguay,America/Montevideo,,,
363,Antsirabe,ATJ,Antsirabe,Madagascar,Indian/Antananarivo,,,
364,Atqasuk,ATK,Atqasuk,United States,America/Anchorage,,,
365,Atlanta,ATL,Hartsfield-Jackson Atlanta Int,United States,America/New_York,,,
366,Altamira,ATM,Altamira,Brazil,America/Manaus,,,
367,Namatanai,ATN,Namatanai,Papua New Guinea,Pacific/Port_Moresby,,,
368,Athens,ATO,Ohio University,United States,America/New_York,,,
369,Aitape,ATP,Airstrip,Papua New Guinea,Pacific/Port_Moresby,,,
370,Amritsar,ATQ,Raja Sansi,India,Asia/Kolkata,,,
371,Atar,ATR,Mouakchott,Mauritania,Africa/Nouakchott,,,
372,Artesia,ATS,Artesia,United States,America/Denver,,,
373,Atmautluak,ATT,Atmautluak,United States,America/Nome,,,
374,Attu Island,ATU,Casco Cove,United States,America/Adak,,,
375,Ati,ATV,Ati,Chad,Africa/Ndjamena,,,
376,Appleton,ATW,Outagamie County,United States,America/Chicago,,,
377,Atbasar,ATX,Atbasar,Kazakhstan,Asia/Almaty,,,
378,Assiut,ATZ,Assiut,Egypt,Africa/Cairo,,,
379,Aruba,AUA,Reina Beatrix,Aruba,America/Aruba,,,
380,Itauba,AUB,Itauba,Brazil,America/Cuiaba,,,
381,Arauca,AUC,Arauca,Colombia,America/Bogota,,,
382,Augustus Downs,AUD,Augustus Downs,Australia,Australia/Brisbane,,,
383,Abu Rudeis,AUE,Abu Rudeis,Egypt,Africa/Cairo,,,
384,Auxerre,AUF,Auxerre Branches,France,Europe/Paris,,,
385,Augusta,AUG,Augusta,United States,America/New_York,,,
386,Abu Dhabi,AUH,Abu Dhabi Intl,United Arab Emirates,Asia/Dubai,,,
387,Aua Island,AUI,Aua Island,Papua New Guinea,Pacific/Port_Moresby,,,
388,Ambunti,AUJ,Ambunti,Papua New Guinea,Pacific/Port_Moresby,,,
389,Alakanuk,AUK,Alakanuk,United States,America/Nome,,,
390,Aur Island,AUL,Aur Island,Marshall Islands,Pacific/Majuro,,,
391,Austin,AUM,Austin,United States,America/Chicago,,,
392,Auburn,AUN,Auburn,United States,America/Los_Angeles,,,
393,Auburn,AUO,Auburn-Opelika,United States,America/Chicago,,,
394,Agaun,AUP,Agaun,Papua New Guinea,Pacific/Port_Moresby,,,
