id,city,city_code,airport_name,country,timezone,,,
2242,Garachine,GHE,Garachine,Panama,America/Panama,,,
2243,Giebelstadt,GHF,Giebelstadt,Germany,Europe/Berlin,,,
2244,Gush Katif,GHK,Gush Katif,Israel,Asia/Gaza,,,
2245,Centerville,GHM,Municipal,United States,America/Chicago,,,
2246,Ghat,GHT,Ghat,Libya,Africa/Tripoli,,,
2247,Gualeguaychu,GHU,Gualeguaychu,Argentina,America/Argentina/Cordoba,,,
2248,Gibraltar,GIB,North Front,Gibraltar,Europe/Gibraltar,,,
2249,Boigu Island,GIC,Boigu Island,Australia,Pacific/Port_Moresby,,,
2250,Gitega,GID,Gitega,Burundi,Africa/Bujumbura,,,
2251,Gilgit,GIL,Gilgit,Pakistan,Asia/Karachi,,,
2252,Miele Mimbale,GIM,Miele Mimbale,Gabon,Africa/Libreville,,,
2253,Girardot,GIR,Girardot,Colombia,America/Bogota,,,
2254,Gisborne,GIS,Gisborne,New Zealand (Aotearoa),Pacific/Auckland,,,
2255,Geita,GIT,Geita,Tanzania,Africa/Dar_es_Salaam,,,
2256,Giyani,GIY,Giyani,South Africa,Africa/Johannesburg,,,
2257,Jazan,GIZ,Jazan,Saudi Arabia,Asia/Riyadh,,,
2258,Guanaja,GJA,Guanaja,Honduras,America/Tegucigalpa,,,
2259,Jijel,GJL,Jijel,Algeria,Africa/Algiers,,,
2260,Guajara-Mirim,GJM,Guajara-Mirim,Brazil,America/Porto_Velho,,,
2261,Gjogur,GJR,Gjogur,Iceland,Atlantic/Reykjavik,,,
2262,Grand Junction,GJT,Walker Field,United States,America/Denver,,,
2263,Goroka,GKA,Goroka,Papua New Guinea,Pacific/Port_Moresby,,,
2264,Geilenkirchen,GKE,Geilenkirchen,Germany,Europe/Berlin,,,
2265,Gorkha,GKH,Gorkha,Nepal,Asia/Kathmandu,,,
2266,Great Keppel Island,GKL,Great Keppel Island,Australia,Australia/Brisbane,,,
2267,Gulkana,GKN,Gulkana,United States,America/Anchorage,,,
2268,Gatlinburg,GKT,Gatlinburg,United States,America/New_York,,,
2269,Glasgow,GLA,Glasgow International,United Kingdom,Europe/London,,,
2270,Geladi,GLC,Geladi,Ethiopia,Africa/Addis_Ababa,,,
2271,Goodland,GLD,Renner Field,United States,America/Denver,,,
2272,Gainesville,GLE,Municipal,United States,America/Chicago,,,
2273,Golfito,GLF,Golfito,Costa Rica,America/Costa_Rica,,,
2274,Glengyle,GLG,Glengyle,Australia,Australia/Brisbane,,,
2275,Greenville,GLH,Greenville,United States,America/Chicago,,,
2276,Glen Innes,GLI,Glen Innes,Australia,Australia/Sydney,,,
2277,Galcaio,GLK,Galcaio,Somalia,Africa/Mogadishu,,,
2278,Gol,GLL,Klanten Arpt,Norway,Europe/Oslo,,,
2279,Glenormiston,GLM,Glenormiston,Australia,Australia/Brisbane,,,
2280,Goulimime,GLN,Goulimime,Morocco,Africa/Casablanca,,,
2281,Gloucester,GLO,Gloucestershire,United Kingdom,Europe/London,,,
2282,Gulgubip,GLP,Gulgubip,Papua New Guinea,Pacific/Port_Moresby,,,
2283,Gaylord,GLR,Otsego County,United States,America/Detroit,,,
2284,Galveston,GLS,Scholes Field,United States,America/Chicago,,,
2285,Gladstone,GLT,Gladstone,Australia,Australia/Brisbane,,,
2286,Golovin,GLV,Golovin,United States,America/Nome,,,
2287,Glasgow,GLW,Municipal,United States,America/Chicago,,,
2288,Galela,GLX,Galela,Indonesia,Asia/Jayapura,,,
2289,Breda,GLZ,Gilze-Rijen,Netherlands,Europe/Amsterdam,,,
2290,Gemena,GMA,Gemena,Zaire,Africa/Kinshasa,,,
2291,Gambela,GMB,Gambela,Ethiopia,Africa/Addis_Ababa,,,
2292,Guerima,GMC,Guerima,Colombia,America/Bogota,,,
2293,Gomel,GME,Gomel,Belarus,Europe/Minsk,,,
2294,Gasmata Island,GMI,Gasmata Island,Papua New Guinea,Pacific/Port_Moresby,,,
2295,Gamboma,GMM,Gamboma,Congo,Africa/Brazzaville,,,
2296,Greymouth,GMN,Greymouth,New Zealand (Aotearoa),Pacific/Auckland,,,
2297,Gambier Is,GMR,Gambier Is,French Polynesia,Pacific/Gambier,,,
2298,Guimaraes,GMS,Guimaraes,Brazil,America/Sao_Paulo,,,
2299,Granite Mountain,GMT,Granite Mountain,United States,America/Anchorage,,,
2300,Greenville,GMU,Downtown,United States,America/New_York,,,
2301,Monument Valley Gldngs,GMV,Monument Valley,United States,America/Denver,,,
2302,Grodna,GNA,Grodna,Belarus,Europe/Minsk,,,
2303,Lyon,GNB,Saint Geoirs,France,Europe/Paris,,,
2304,Grenada,GND,Point Saline Intl,Grenada,America/Grenada,,,
2305,Gooding,GNG,Gooding,United States,America/Boise,,,
2306,Green Island,GNI,Green Island,Taiwan,Asia/Taipei,,,
2307,Guanambi,GNM,Guanambi,Brazil,America/Bahia,,,
2308,Ghinnir,GNN,Ghinnir,Ethiopia,Africa/Addis_Ababa,,,
2309,General Roca,GNR,General Roca,Argentina,America/Argentina/Salta,,,
2310,Gunungsitoli,GNS,Gunungsitoli,Indonesia,Asia/Jakarta,,,
2311,Grants,GNT,Milan,United States,America/Denver,,,
2312,Goodnews Bay,GNU,Goodnews Bay,United States,America/Anchorage,,,
2313,Gainesville,GNV,Gainesville Regional,United States,America/New_York,,,
2314,Ghanzi,GNZ,Ghanzi,Botswana,Africa/Gaborone,,,
2315,Genoa,GOA,Cristoforo Colombo,Italy,Europe/Rome,,,
2316,Goba,GOB,Goba,Ethiopia,Africa/Addis_Ababa,,,
2317,Gora,GOC,Gora,Papua New Guinea,Pacific/Port_Moresby,,,
2318,Gonalia,GOE,Gonalia,Papua New Guinea,Pacific/Port_Moresby,,,
2319,Gobabis,GOG,Gobabis,Namibia,Africa/Windhoek,,,
2320,Nuuk,GOH,Nuuk,Greenland,America/Godthab,,,
2321,Goa,GOI,Dabolim,India,Asia/Kolkata,,,
2322,Nizhniy Novgorod,GOJ,Nizhniy Novgorod,Russian Federation,Europe/Moscow,,,
2323,Guthrie,GOK,Guthrie,United States,America/Chicago,,,
2324,Gold Beach,GOL,State,United States,America/Los_Angeles,,,
2325,Goma,GOM,Goma,D. R. Congo,Africa/Lubumbashi,,,
2326,New London,GON,New London,United States,America/New_York,,,
2327,Goondiwindi,GOO,Goondiwindi,Australia,Australia/Brisbane,,,
2328,Gorakhpur,GOP,Gorakhpur,India,Asia/Kolkata,,,
2329,Golmud,GOQ,Golmud,China,Asia/Urumqi,,,
2330,Gore,GOR,Gore,Ethiopia,Africa/Addis_Ababa,,,
2331,Gothenburg,GOT,Landvetter,Sweden,Europe/Stockholm,,,
2332,Garoua,GOU,Garoua,Cameroon,Africa/Douala,,,
2333,Gove,GOV,Nhulunbuy,Australia,Australia/Darwin,,,
2334,Gal Oya,GOY,Amparai,Sri Lanka,Asia/Colombo,,,
2335,Gorna Orechovitsa,GOZ,Gorna Orechovitsa,Bulgaria,Europe/Sofia,,,
2336,Guarapuava,GPB,Tancredo Thomaz Faria,Brazil,America/Sao_Paulo,,,
2337,Guapi,GPI,Guapi,Colombia,America/Bogota,,,
2338,Guapiles,GPL,Guapiles,Costa Rica,America/Costa_Rica,,,
2339,Garden Point,GPN,Garden Point,Australia,Australia/Darwin,,,
2340,General Pico,GPO,General Pico,Argentina,America/Argentina/Salta,,,
2341,Galapagos Is,GPS,Baltra,Ecuador,Pacific/Galapagos,,,
2342,Gulfport,GPT,Biloxi Regional,United States,America/Chicago,,,
2343,Grand Rapids,GPZ,Grand Rapids,United States,America/Chicago,,,
2344,Galion,GQQ,Galion,United States,America/New_York,,,
2345,Green Bay,GRB,Austin-straubel Field,United States,America/Chicago,,,
2346,Greenwood,GRD,Greenwood,United States,America/New_York,,,
2347,Greenville,GRE,Municipal,United States,America/Chicago,,,
2348,Gardez,GRG,Gardez,Afghanistan,Asia/Kabul,,,
2349,Garuahi,GRH,Garuahi,Papua New Guinea,Pacific/Port_Moresby,,,
2350,Grand Island,GRI,Grand Island,United States,America/Chicago,,,
2351,George,GRJ,George,South Africa,Africa/Johannesburg,,,
2352,Killeen,GRK,Gray AAF,United States,America/Chicago,,,
2353,Garasa,GRL,Garasa,Papua New Guinea,Pacific/Port_Moresby,,,
2354,Grand Marais,GRM,Devils Track,United States,America/Chicago,,,
2355,Gordon,GRN,Gordon,United States,America/Denver,,,
2356,Gerona,GRO,Costa Brava,Spain,Europe/Madrid,,,
2357,Gurupi,GRP,Gurupi,Brazil,America/Araguaina,,,
2358,Groningen,GRQ,Eelde,Netherlands,Europe/Amsterdam,,,
2359,Grand Rapids,GRR,Kent County Intl,United States,America/Detroit,,,
2360,Grosseto,GRS,Baccarini,Italy,Europe/Rome,,,
2361,Gujrat,GRT,Gujrat,Pakistan,Asia/Karachi,,,
2362,Groznyj,GRV,Groznyj,Russian Federation,Europe/Moscow,,,
2363,Graciosa Island,GRW,Graciosa Island,Portugal,Atlantic/Azores,,,
2364,Granada,GRX,Granada,Spain,Europe/Madrid,,,
2365,Grimsey,GRY,Grimsey,Iceland,Atlantic/Reykjavik,,,
2366,Graz,GRZ,Thalerhof,Austria,Europe/Vienna,,,
2367,Long Pasia,GSA,Long Pasia,Malaysia,Asia/Kuching,,,
2368,Goldsboro,GSB,Seymour Johnson AFB,United States,America/New_York,,,
2369,Gascoyne Junction,GSC,Gascoyne Junction,Australia,Australia/Perth,,,
2370,Gothenburg,GSE,Saeve,Sweden,Europe/Stockholm,,,
2371,Goshen,GSH,Goshen,United States,America/Indiana/Indianapolis,,,
2372,Gheshm,GSM,Gheshm,Iran,Asia/Tehran,,,
2373,Mount Gunson,GSN,Mount Gunson,Australia,Australia/Adelaide,,,
2374,High Point,GSO,Piedmont Triad Intl,United States,America/New_York,,,
2375,Greenville,GSP,Greenville-Spartanbur,United States,America/New_York,,,
2376,Gardo,GSR,Gardo,Somalia,Africa/Mogadishu,,,
2377,Gustavus,GST,Gustavus Arpt,United States,America/Juneau,,,
2378,Gedaref,GSU,Gedaref,Sudan,Africa/Khartoum,,,
2379,Grimsby,GSY,Binbrook,United Kingdom,Europe/London,,,
2380,Gatokae,GTA,Gatokae Aerodrom,Solomon Islands,Pacific/Guadalcanal,,,
2381,Groote Eylandt,GTE,Alyangula,Australia,Australia/Darwin,,,
2382,Great Falls,GTF,International,United States,America/Denver,,,
2383,Grantsburg,GTG,Municipal,United States,America/Chicago,,,
2384,Guettin,GTI,Guettin,Germany,Europe/Berlin,,,
2385,Mount Cook,GTN,Glentanner,New Zealand (Aotearoa),Pacific/Auckland,,,
2386,Gorontalo,GTO,Tolotio,Indonesia,Asia/Makassar,,,
2387,Columbus,GTR,Golden Triangle Reg.,United States,America/Chicago,,,
2388,Granites,GTS,Granites,Australia,Australia/Adelaide,,,
2389,Georgetown,GTT,Georgetown,Australia,Australia/Brisbane,,,
2390,Gettysburg,GTY,Gettysburg,United States,America/New_York,,,
2391,Guatemala City,GUA,La Aurora,Guatemala,America/Guatemala,,,
2392,Guerrero Negro,GUB,Guerrero Negro,Mexico,America/Santa_Isabel,,,
2393,Gunnison,GUC,Gunnison,United States,America/Denver,,,
2394,Goundam,GUD,Goundam,Mali,Africa/Bamako,,,
2395,Gulf Shores,GUF,Edwards,United States,America/Chicago,,,
2396,Guari,GUG,Guari,Papua New Guinea,Pacific/Port_Moresby,,,
2397,Gunnedah,GUH,Gunnedah,Australia,Australia/Sydney,,,
2398,Guiria,GUI,Guiria,Venezuela,America/Caracas,,,
2399,Guaratingueta,GUJ,Guaratingueta,Brazil,America/Sao_Paulo,,,
2400,Goulburn,GUL,Goulburn,Australia,Australia/Sydney,,,
2401,Gallup,GUP,Senator Clark,United States,America/Denver,,,
2402,Guanare,GUQ,Guanare,Venezuela,America/Caracas,,,
2403,Alotau,GUR,Gurney,Papua New Guinea,Pacific/Port_Moresby,,,
2404,Guetersloh,GUT,Guetersloh,Germany,Europe/Berlin,,,
2405,Grundarfjordur,GUU,Grundarfjordur,Iceland,Atlantic/Reykjavik,,,
2406,Mougulu,GUV,Mougulu,Papua New Guinea,Pacific/Port_Moresby,,,
2407,Atyrau,GUW,Atyrau,Kazakhstan,Asia/Oral,,,
2408,Guna,GUX,Guna,India,Asia/Kolkata,,,
2409,Guymon,GUY,Guymon,United States,America/Chicago,,,
2410,Guarapari,GUZ,Guarapari,Brazil,America/Sao_Paulo,,,
2411,Geneva,GVA,Geneve-cointrin,Switzerland,Europe/Zurich,,,
2412,Gordonsville,GVE,Municipal,United States,America/New_York,,,
2413,Green River,GVI,Green River,Papua New Guinea,Pacific/Port_Moresby,,,
2414,Gainesville,GVL,Lee Gilmer Memorial,United States,America/New_York,,,
2415,Greenvale,GVP,Greenvale,Australia,Australia/Brisbane,,,
2416,Governador Valadares,GVR,Governador Valadares,Brazil,America/Sao_Paulo,,,
2417,Greenville,GVT,Majors Field,United States,America/Chicago,,,
2418,Grandview,GVW,Richards-Gebaur,United States,America/Chicago,,,
2419,Gavle,GVX,Sandviken,Sweden,Europe/Stockholm,,,
2420,Gwa,GWA,Gwa,Myanmar,Asia/Rangoon,,,
2421,Gwadar,GWD,Gwadar,Pakistan,Asia/Karachi,,,
2422,Gweru,GWE,Gweru,Zimbabwe,Africa/Harare,,,
2423,Gwalior,GWL,Gwalior,India,Asia/Kolkata,,,
2424,Gnarowein,GWN,Gnarowein,Papua New Guinea,Pacific/Port_Moresby,,,
2425,Greenwood,GWO,Leflore,United States,America/Chicago,,,
2426,Galway,GWY,Carnmore,Ireland,Europe/Dublin,,,
2427,Negage,GXG,Negage,Angola,Africa/Luanda,,,
2428,Mildenhall,GXH,NAF,United Kingdom,Asia/Chongqing,,,
2429,Coyhaique,GXQ,Ten. Vidal,Chile,America/Santiago,,,
2430,Greeley,GXY,Weld County,United States,America/Denver,,,
2431,Guayaramerin,GYA,Guayaramerin,Bolivia,America/La_Paz,,,
2432,Guayaquil,GYE,Simon Bolivar,Ecuador,America/Guayaquil,,,
2433,Gisenyi,GYI,Gisenyi,Rwanda,Africa/Kigali,,,
2434,Argyle,GYL,Argyle,Australia,Australia/Perth,,,
2435,Guaymas,GYM,Gen Jose M Yanez,Mexico,America/Hermosillo,,,
2436,Goiania,GYN,Santa Genoveva,Brazil,America/Sao_Paulo,,,
2437,Gympie,GYP,Gympie,Australia,Australia/Brisbane,,,
2438,Goodyear,GYR,Litchfield,United States,America/Phoenix,,,
2439,Guang Yuan,GYS,Guang Yuan,China,Asia/Chongqing,,,
2440,Chicago,GYY,Gary Regional,United States,America/Chicago,,,
2441,Ghazni,GZI,Ghazni,Afghanistan,Asia/Kabul,,,
2442,Gozo,GZM,Gozo Heliport,Malta,Europe/Malta,,,
2443,Gizo,GZO,Gizo,Solomon Islands,Pacific/Guadalcanal,,,
2444,Gaziantep,GZT,Gaziantep,Turkey,Europe/Istanbul,,,
2445,Ghazvin,GZW,Ghazvin,Iran,Asia/Tehran,,,
2446,Hasvik,HAA,Hasvik,Norway,Europe/Oslo,,,
2447,Hamilton,HAB,Marion County,United States,America/Chicago,,,
2448,Hachijo Jima,HAC,Hachijo Jima,Japan,Asia/Tokyo,,,
2449,Halmstad,HAD,Halmstad,Sweden,Europe/Stockholm,,,
2450,Havasupai,HAE,Havasupai,United States,America/Phoenix,,,
2451,Half Moon,HAF,Half Moon,United States,America/Los_Angeles,,,
2452,Moroni,HAH,Prince Said Ibrahim In,Comoros,Indian/Comoro,,,
2453,Hanover,HAJ,Hanover Arpt,Germany,Europe/Berlin,,,
2454,Haikou,HAK,Haikou,China,Asia/Chongqing,,,
2455,Halali,HAL,Halali,Namibia,Africa/Windhoek,,,
2456,Hamburg,HAM,Hamburg,Germany,Europe/Berlin,,,
2457,Hanoi,HAN,Noibai International,Viet Nam,Asia/Ho_Chi_Minh,,,
2458,Hamilton,HAO,Hamilton,United States,America/New_York,,,
2459,Hanimaadhoo,HAQ,Hanimaadhoo,Maldives,Indian/Maldives,,,
2460,Harrisburg,HAR,Harrisburg Skyport,United States,America/New_York,,,
2461,Hail,HAS,Hail,Saudi Arabia,Asia/Riyadh,,,
2462,Heathlands,HAT,Heathlands,Australia,Australia/Brisbane,,,
2463,Haugesund,HAU,Haugesund,Norway,Europe/Oslo,,,
2464,Havana,HAV,Jose Marti Intl,Cuba,America/Havana,,,
2465,Haverfordwest,HAW,Haverfordwest,United Kingdom,Europe/London,,,
2466,Muskogee,HAX,Hatbox Field,United States,America/Chicago,,,
2467,Haycock,HAY,Haycock,United States,America/Anchorage,,,
2468,Hatzfeldthaven,HAZ,Hatzfeldthaven,Papua New Guinea,Pacific/Port_Moresby,,,
2469,Hobart,HBA,Hobart,Australia,Australia/Hobart,,,
2470,Alexandria,HBE,Borg El Arab,Egypt,Africa/Cairo,,,
2471,Hattiesburg,HBG,The Hattiesburg-Bobby L. Chain Mun.,United States,America/Chicago,,,
2472,Humboldt,HBO,Municipal,United States,America/Chicago,,,
2473,Hobart,HBR,Hobart,United States,America/Chicago,,,
2474,Hafr Albatin,HBT,Hafr Albatin,Saudi Arabia,Asia/Riyadh,,,
2475,Hubli,HBX,Hubli,India,Asia/Kolkata,,,
2476,Big Spring,HCA,Howard County,United States,America/Chicago,,,
2477,Hudson,HCC,Columbia County,United States,America/New_York,,,
2478,Eil,HCM,Eil,Somalia,Africa/Mogadishu,,,
2479,Hengchun,HCN,Hengchun,Taiwan,Asia/Taipei,,,
2480,Halls Creek,HCQ,Halls Creek,Australia,Australia/Perth,,,
2481,Holy Cross,HCR,Holy Cross,United States,America/Anchorage,,,
2482,Cheraw,HCW,Cheraw,United States,America/New_York,,,
2483,Hidden Falls,HDA,Hidden Falls,United States,America/Sitka,,,
2484,Heidelberg,HDB,Heidelberg,Germany,Europe/Berlin,,,
2485,Hyderabad,HDD,Hyderabad,Pakistan,Asia/Karachi,,,
2486,Holdrege,HDE,Brewster Field,United States,America/Chicago,,,
2487,Heringsdorf,HDF,Heringsdorf,Germany,Europe/Berlin,,,
2488,Oahu,HDH,Dillingham Airfield,United States,Pacific/Honolulu,,,
2489,Hamadan,HDM,Hamadan,Iran,Asia/Tehran,,,
2490,Hayden,HDN,Yampa Valley,United States,America/Denver,,,
2491,Havadarya,HDR,Havadarya,Iran,Asia/Tehran,,,
2492,Hoedspruit,HDS,Hoedspruit Airport,South Africa,Africa/Johannesburg,,,
2493,Hat Yai,HDY,Hat Yai,Thailand,Asia/Bangkok,,,
2494,Herat,HEA,Herat,Afghanistan,Asia/Kabul,,,
2495,Henzada,HEB,Henzada,Myanmar,Asia/Rangoon,,,
2496,Herendeen,HED,Herendeen,United States,America/Anchorage,,,
2497,Helena,HEE,Thompson-Robbins,United States,America/Chicago,,,
2498,Heho,HEH,Heho,Myanmar,Asia/Rangoon,,,
2499,Heide-Buesum,HEI,Heide-Buesum,Germany,Europe/Berlin,,,
2500,Heihe,HEK,Heihe,China,Asia/Harbin,,,
2501,Vantaa,HEL,Helsinki-vantaa,Finland,Europe/Helsinki,,,
2502,Helsinki,HEM,Helsinki-Malmi,Finland,Europe/Helsinki,,,
2503,Haelogo,HEO,Haelogo,Papua New Guinea,Pacific/Port_Moresby,,,
2504,Heraklion,HER,N. Kazantzakis Apt.,Greece,Europe/Athens,,,
2505,Hermiston,HES,State,United States,America/Los_Angeles,,,
2506,Hohhot,HET,Hohhot,China,Asia/Harbin,,,
2507,Huelva,HEV,Huelva,Spain,Europe/Madrid,,,
2508,Athens,HEW,Hellinikon (Closed),Greece,Europe/Athens,,,
2509,Natchez,HEZ,Hardy-Anders,United States,America/Chicago,,,
2510,Haifa,HFA,Haifa,Israel,Asia/Jerusalem,,,
2511,Hartford,HFD,Brainard,United States,America/New_York,,,
2512,Hefei,HFE,Shanghai,China,Asia/Shanghai,,,
2513,Hoffman,HFF,Mackall AAF,United States,America/New_York,,,
2514,Hornafjordur,HFN,Hornafjordur,Iceland,Atlantic/Reykjavik,,,
2515,Hagfors,HFS,Hagfors,Sweden,Europe/Stockholm,,,
2516,Hammerfest,HFT,Hammerfest,Norway,Europe/Oslo,,,
2517,Hargeisa,HGA,Hargeisa,Somalia,Africa/Mogadishu,,,
2518,Hughenden,HGD,Hughenden,Australia,Australia/Brisbane,,,
2519,Hangzhou,HGH,Hangzhou,China,Asia/Shanghai,,,
2520,Higlieg,HGI,Higlieg,Sudan,Africa/Khartoum,,,
2521,Helgoland,HGL,Helgoland,Germany,Europe/Berlin,,,
2522,Mae Hong Son,HGN,Mae Hong Son,Thailand,Asia/Bangkok,,,
2523,Korhogo,HGO,Korhogo,Cote D'Ivoire (Ivory Coast),Africa/Abidjan,,,
2524,Hagerstown,HGR,Wash. County Regional,United States,America/New_York,,,
2525,Freetown,HGS,Hastings,Sierra Leone,Africa/Freetown,,,
2526,Mount Hagen,HGU,Kagamuga,Papua New Guinea,Pacific/Port_Moresby,,,
2527,Hachinohe,HHE,Hachinohe,Japan,Asia/Tokyo,,,
2528,Hilton Head,HHH,Hilton Head,United States,America/New_York,,,
2529,Hahn,HHN,Hahn,Germany,Europe/Berlin,,,
2530,Hong Kong,HHP,H K Heliport,Hong Kong,Asia/Hong_Kong,,,
2531,Hua Hin,HHQ,Hua Hin Airport,Thailand,Asia/Bangkok,,,
2532,Hawthorne,HHR,Hawthorne,United States,America/Los_Angeles,,,
2533,Hikueru,HHZ,Hikueru,French Polynesia,Pacific/Tahiti,,,
2534,Chisholm,HIB,Chisholm,United States,America/Chicago,,,
2535,Horn Island,HID,Horn Island,Australia,Australia/Brisbane,,,
2536,Ogden,HIF,Hill AFB,United States,America/Denver,,,
2537,Highbury,HIG,Highbury,Australia,Australia/Brisbane,,,
2538,Lake Havasu City,HII,Municipal,United States,America/Phoenix,,,
2539,Hiroshima,HIJ,International,Japan,Asia/Tokyo,,,
2540,Honolulu,HIK,Hickam AFB,United States,Pacific/Honolulu,,,
2541,Hingurakgoda,HIM,Hingurakgoda,Sri Lanka,Asia/Colombo,,,
2542,Jinju,HIN,Sacheon,Korea (South),Asia/Seoul,,,
2543,Hillsboro,HIO,Portland,United States,America/Los_Angeles,,,
2544,Headingly,HIP,Headingly,Australia,Australia/Brisbane,,,
2545,Honiara,HIR,Henderson Intl,Solomon Islands,Pacific/Guadalcanal,,,
2546,Hayman Island,HIS,Hayman Island,Australia,Australia/Lindeman,,,
2547,Hivaro,HIT,Hivaro,Papua New Guinea,Pacific/Port_Moresby,,,
2548,Hiroshima,HIW,Hiroshima West,Japan,Asia/Tokyo,,,
2549,Hiva Oa,HIX,Hiva Oa,French Polynesia,Pacific/Marquesas,,,
2550,Khajuraho,HJR,Khajuraho,India,Asia/Kolkata,,,
2551,Khujirt,HJT,Khujirt,Mongolia,Asia/Ulaanbaatar,,,
2552,Blytheville,HKA,Municipal,United States,America/Chicago,,,
2553,Healy Lake,HKB,Healy Lake,United States,America/Anchorage,,,
2554,Hakodate,HKD,Hakodate,Japan,Asia/Tokyo,,,
2555,Hokitika,HKK,Hokitika Arpt,New Zealand (Aotearoa),Pacific/Auckland,,,
2556,Hoskins,HKN,Hoskins,Papua New Guinea,Pacific/Port_Moresby,,,
2557,Jackson,HKS,Hawkins Field,United States,America/Chicago,,,
2558,Haskovo,HKV,Haskovo,Bulgaria,Europe/Sofia,,,
2559,Hickory,HKY,Hickory,United States,America/New_York,,,
2560,Lanseria,HLA,Lanseria,South Africa,Africa/Johannesburg,,,
2561,Batesville,HLB,Hillenbrand,United States,America/Indiana/Indianapolis,,,
2562,Hill City,HLC,Hill City,United States,America/Chicago,,,
2563,Hailar,HLD,Hailar,China,Asia/Shanghai,,,
2564,Hultsfred,HLF,Hultsfred,Sweden,Europe/Stockholm,,,
2565,Hollister,HLI,Hollister,United States,America/Los_Angeles,,,
2566,Hillside,HLL,Hillside,Australia,Australia/Perth,,,
2567,Holland,HLM,Park Township,United States,America/Detroit,,,
2568,Helena,HLN,Helena,United States,America/Denver,,,
2569,Jakarta,HLP,Halim Perdana Kusuma,Indonesia,Asia/Jakarta,,,
2570,Hamilton,HLT,Hamilton,Australia,Australia/Melbourne,,,
2571,Houailou,HLU,Houailou,New Caledonia,Pacific/Noumea,,,
2572,Helenvale,HLV,Helenvale,Australia,Australia/Brisbane,,,
2573,Hluhluwe,HLW,Hluhluwe,South Africa,Africa/Johannesburg,,,
2574,Hamilton,HLZ,Hamilton,New Zealand (Aotearoa),Pacific/Auckland,,,
2575,Khanty-Mansiysk,HMA,Khanty-Mansiysk,Russia,Asia/Yekaterinburg,,,
2576,Hassi Messaoud,HME,Oued Irara Apt,Algeria,Africa/Algiers,,,
2577,Hermannsburg,HMG,Hermannsburg,Australia,Australia/Darwin,,,
2578,Hami,HMI,Hami,China,Asia/Urumqi,,,
2579,Khmelnitskiy,HMJ,Khmelnitskiy,Ukraine,Europe/Kiev,,,
2580,Alamogordo,HMN,Holloman AFB,United States,America/Denver,,,
2581,Hermosillo,HMO,Gen Pesqueira Garcia,Mexico,America/Hermosillo,,,
2582,Hamar,HMR,Hamar Arpt,Norway,Europe/Oslo,,,
2583,Hemet,HMT,Ryan Field,United States,America/Los_Angeles,,,
2584,Hemavan,HMV,Hemavan,Sweden,Europe/Stockholm,,,
2585,Hanamaki,HNA,Hanamaki,Japan,Asia/Tokyo,,,
2586,Huntingburg,HNB,Municipal,United States,America/Indiana/Vincennes,,,
2587,Hatteras,HNC,Hatteras,United States,America/New_York,,,
2588,Hoonah,HNH,Hoonah,United States,America/Juneau,,,
2589,Heiweni,HNI,Heiweni,Papua New Guinea,Pacific/Port_Moresby,,,
2590,Honolulu,HNL,International,United States,Pacific/Honolulu,,,
2591,Hana,HNM,Hana,United States,Pacific/Honolulu,,,
2592,Honinabi,HNN,Honinabi,Papua New Guinea,Pacific/Port_Moresby,,,
2593,Haines,HNS,Municipal,United States,America/Juneau,,,
2594,Hanna,HNX,Hanna,United States,America/Denver,,,
2595,Hengyang,HNY,Hengyang,China,Asia/Shanghai,,,
2596,Hola,HOA,Hola,Kenya,Africa/Nairobi,,,
2597,Hobbs,HOB,Lea County,United States,America/Denver,,,
2598,Hodeidah,HOD,Hodeidah Arpt,Yemen,Asia/Aden,,,
2599,Houeisay,HOE,Houeisay,Laos,Asia/Vientiane,,,
2600,Alahsa,HOF,Alahsa,Saudi Arabia,Asia/Riyadh,,,
2601,Holguin,HOG,Frank Pais,Cuba,America/Havana,,,
2602,Hohenems,HOH,Hohenems,Austria,Europe/Vienna,,,
2603,Hao Island,HOI,Hao Island,French Polynesia,Pacific/Tahiti,,,
2604,Hooker Creek,HOK,Hooker Creek,Australia,Australia/Darwin,,,
2605,Holikachu,HOL,Holikachu,United States,America/Anchorage,,,
2606,Homer,HOM,Homer,United States,America/Anchorage,,,
2607,Huron,HON,Howes,United States,America/Chicago,,,
2608,Hopkinsville,HOP,Campbell AAF,United States,America/Chicago,,,
2609,Hof,HOQ,Hof,Germany,Europe/Berlin,,,
2610,Horta,HOR,Horta,Portugal,Atlantic/Azores,,,
2611,Hot Springs,HOT,Memorial Field,United States,America/Chicago,,,
2612,Houston,HOU,Hobby,United States,America/Chicago,,,
2613,Homalin,HOX,Homalin,Myanmar,Asia/Rangoon,,,
2614,Hoy Island,HOY,Hoy Island,United Kingdom,Europe/London,,,
2615,Hooper Bay,HPB,Hooper Bay,United States,America/Nome,,,
2616,Haiphong,HPH,Catbi,Viet Nam,Asia/Ho_Chi_Minh,,,
2617,Kauai Island,HPV,Princeville,United States,Pacific/Honolulu,,,
2618,Baytown,HPY,Baytown,United States,America/Chicago,,,
2619,Hoquiam,HQM,Bowerman,United States,America/Los_Angeles,,,
2620,Harbin,HRB,Harbin,China,Asia/Harbin,,,
2621,Harare,HRE,Harare,Zimbabwe,Africa/Harare,,,
2622,Hurghada,HRG,Hurghada,Egypt,Africa/Cairo,,,
